site_id,row,col,ice_likelihood_pct,slope_deg,roughness,solar_hours,distance_to_ice_px,distance_to_ice_m,contrib_ice,contrib_slope,contrib_solar,contrib_roughness,contrib_distance,suitability_score,mission_profile,rank
Site-B,35,27,9.5,6.5,0.3,4.2,4.5,89.4,12.884615384615387,35.0,6.000000000000032,15.0,3.7518037518037515,72.6,safety_first,1
Site-A,47,28,10.6,6.8,0.3,4.3,3.6,72.1,15.0,21.875000000000007,12.00000000000001,15.0,5.0,68.9,safety_first,2
Site-D,53,33,3.8,7.2,0.32,4.6,4.5,89.4,1.9230769230769231,4.374999999999984,30.0,5.0,3.7518037518037515,45.0,safety_first,3
Site-C,28,31,6.7,7.3,0.33,4.4,5.4,107.7,7.500000000000001,0.0,18.000000000000043,0.0,2.431457431457431,27.9,safety_first,4
Site-F,26,37,2.8,7.2,0.3,4.2,7.1,141.4,0.0,4.374999999999984,6.000000000000032,15.0,0.0,25.4,safety_first,5
Site-E,27,45,4.6,7.1,0.31,4.1,5.1,102.0,3.4615384615384612,8.75000000000001,0.0,10.0,2.8427128427128427,25.1,safety_first,6
