site_id,row,col,ice_likelihood_pct,slope_deg,roughness,solar_hours,distance_to_ice_px,distance_to_ice_m,contrib_ice,contrib_slope,contrib_solar,contrib_roughness,contrib_distance,suitability_score,mission_profile,rank
Site-A,47,28,10.6,6.8,0.3,4.3,3.6,72.1,50.0,9.375000000000004,4.0000000000000036,10.0,15.0,88.4,science_first,1
Site-B,35,27,9.5,6.5,0.3,4.2,4.5,89.4,42.94871794871795,15.0,2.0000000000000107,10.0,11.255411255411254,81.2,science_first,2
Site-C,28,31,6.7,7.3,0.33,4.4,5.4,107.7,25.000000000000007,0.0,6.000000000000014,0.0,7.294372294372294,38.3,science_first,3
Site-D,53,33,3.8,7.2,0.32,4.6,4.5,89.4,6.4102564102564115,1.8749999999999933,10.0,3.333333333333334,11.255411255411254,32.9,science_first,4
Site-E,27,45,4.6,7.1,0.31,4.1,5.1,102.0,11.538461538461538,3.750000000000005,0.0,6.666666666666668,8.528138528138527,30.5,science_first,5
Site-F,26,37,2.8,7.2,0.3,4.2,7.1,141.4,0.0,1.8749999999999933,2.0000000000000107,10.0,0.0,13.9,science_first,6
