site_id,row,col,ice_likelihood_pct,slope_deg,roughness,solar_hours,distance_to_ice_px,distance_to_ice_m,contrib_ice,contrib_slope,contrib_solar,contrib_roughness,contrib_distance,suitability_score,mission_profile,rank
Site-A,47,28,10.6,6.8,0.3,4.3,3.6,72.1,35.0,15.625000000000005,8.000000000000007,10.0,10.0,78.6,balanced,1
Site-B,35,27,9.5,6.5,0.3,4.2,4.5,89.4,30.064102564102562,25.0,4.000000000000021,10.0,7.503607503607503,76.6,balanced,2
Site-D,53,33,3.8,7.2,0.32,4.6,4.5,89.4,4.487179487179487,3.124999999999989,20.0,3.333333333333334,7.503607503607503,38.4,balanced,3
Site-C,28,31,6.7,7.3,0.33,4.4,5.4,107.7,17.5,0.0,12.000000000000028,0.0,4.862914862914862,34.4,balanced,4
Site-E,27,45,4.6,7.1,0.31,4.1,5.1,102.0,8.076923076923077,6.250000000000008,0.0,6.666666666666668,5.6854256854256855,26.7,balanced,5
Site-F,26,37,2.8,7.2,0.3,4.2,7.1,141.4,0.0,3.124999999999989,4.000000000000021,10.0,0.0,17.1,balanced,6
